SCG ID,Solution Name,Solution Version,Product Name,Product Version,Feature/Component,Implementation Priority,Description/Title,Discussion,Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,Potential Functional Impact if Default Value is Changed,PowerCLI Command Assessment,PowerCLI Command Remediation Example
vm-7.isolation-device-connectable-deactivate,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P2,"Virtual machines must prevent unauthorized removal, connection and modification of devices.","Preventing unauthorized device modifications in virtual machines blocks non-admin users or processes from connecting, disconnecting, or adjusting device settings. This measure curbs unauthorized access and operation disruption, reducing denial of service risks, as well as some avenues for exfiltrating data.",isolation.device.connectable.disable,Undefined (Defaults to TRUE),Undefined (Defaults to TRUE),YES,Audit,VM Advanced Parameters,None,Get-VM -Name $VM | Get-AdvancedSetting isolation.device.connectable.disable,Get-VM -Name $VM | Remove-AdvancedSetting -Name isolation.device.connectable.disable
vm-7.isolation-tools-dnd-deactivate,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P2,Virtual machines must have console drag and drop operations deactivated.,"Deactivating drag and drop operations in a virtual machine's console stops users from transferring data between the VM and the local client, regardless of the console type, enhancing data security.",isolation.tools.dnd.disable,Undefined (Defaults to TRUE),Undefined (Defaults to TRUE),YES,Audit,VM Advanced Parameters,None,Get-VM -Name $VM | Get-AdvancedSetting isolation.tools.dnd.disable,Get-VM -Name $VM | Remove-AdvancedSetting -Name isolation.tools.dnd.disable
vm-7.limit-console-connections,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P0,Virtual machines must limit console sharing.,"Limiting VM console sharing to one user prevents multiple observers, enhancing security. However, this might inadvertently create a potential pathway for service denial.",RemoteDisplay.maxConnections,Undefined (Defaults to 40),1,NO,Modify,VM Advanced Parameters,"May create a denial-of-service condition where the console is unusable because someone is connected, or a disconnected console session persists. Other products, such as VMware Cloud Director, may require this set to a greater value.",Get-VM -Name $VM | Get-AdvancedSetting RemoteDisplay.maxConnections,Get-VM -Name $VM | Get-AdvancedSetting RemoteDisplay.maxConnections | Set-AdvancedSetting -Value 1
vm-7.limit-setinfo-size,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P2,Virtual machines must limit informational messages from the virtual machine to the VMX file.,Limiting VM informational messages to the VMX file prevents it from exceeding its default size of 1MB. This control prevents potential denial of service situations that could arise if the datastore becomes full.,tools.setInfo.sizeLimit,Undefined (Defaults to 1048576),Undefined (Defaults to 1048576),YES,Audit,VM Advanced Parameters,None,Get-VM -Name $VM | Get-AdvancedSetting tools.setInfo.sizeLimit,Get-VM -Name $VM | Remove-AdvancedSetting -Name tools.setInfo.sizeLimit
vm-7.log-enable,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P2,Virtual machines must enable diagnostic logging.,Diagnostic logging for virtual machines helps with forensics and troubleshooting.,Enable Logging,TRUE,TRUE,YES,Audit,VM Settings,None,"Get-VM -Name $VM | Where {$_.ExtensionData.Config.Flags.EnableLogging -ne ""True""}","$VMview = Get-VM -Name $VM | Get-View 
$ConfigSpec = New-Object VMware.Vim.VirtualMachineConfigSpec
$ConfigSpec.Flags = New-Object VMware.Vim.VirtualMachineFlagInfo
$ConfigSpec.Flags.EnableLogging = $true
$VMview.ReconfigVM_Task($ConfigSpec)"
vm-7.log-retention,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P2,Virtual machines must limit the number of retained diagnostic logs.,"By restricting the quantity of retained diagnostic logs, we can avoid filling up the datastore without compromising diagnostic functionality.",log.keepOld,Undefined (Defaults to 10),Undefined (Defaults to 10),YES,Audit,VM Advanced Parameters,None,Get-VM -Name $VM | Get-AdvancedSetting log.keepOld,Get-VM -Name $VM | Remove-AdvancedSetting -Name log.keepOld
vm-7.log-rotation-size,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P2,Virtual machines must limit the size of diagnostic logs.,"Limiting the size of diagnostic logs on VMs prevents excessive space consumption, particularly on long-running VMs. As per VMware guidelines, the recommended minimum limit is 2MB.",log.rotateSize,Undefined (Defaults to 2048000),Undefined (Defaults to 2048000),YES,Audit,VM Advanced Parameters,None,Get-VM -Name $VM | Get-AdvancedSetting log.rotateSize,Get-VM -Name $VM | Remove-AdvancedSetting -Name log.rotateSize
vm-7.pci-passthrough,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P0,Virtual machines must limit PCI device passthrough functionality.,"DirectPath I/O features enable VMs to directly access system hardware, impacting risk mitigation tools like vMotion, DRS, and High Availability. It also potentially gives attackers privileged hardware access. Ensure only necessary VMs have this privilege, compensating with guest OS security controls.",N/A,Not Configured,Not Configured,YES,Audit,VM Settings,"Passthrough devices, such as GPUs, would be negatively affected if they are disconnected. Audit and document the business need for these VMs.",Get-VM -Name $VM | Get-PassthroughDevice,Get-VM -Name $VM | Get-PassthroughDevice | Remove-PassthroughDevice
vm-7.remove-unnecessary-devices,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P0,Virtual machines must remove unnecessary virtual hardware.,"Eliminate unnecessary virtual hardware from VMs to reduce potential attack surfaces. Rarely-used ports, temporary CD/DVD drives, and hardware introduced via migrations could be vulnerable. Removing these decreases risk of software introduction or data exfiltration from a protected environment.",N/A,Configured,Not Configured,NO,Modify,VM Settings,"Removing the CD-ROM device may impact VMware Tools installation and maintenance.

Removing XHCI controllers may impact console keyboard and mouse connectivity for some guest OSes.","$VMview = Get-VM -Name $VM | Get-View
$UnnecessaryHardware = ""VirtualUSBController|VirtualUSBXHCIController|VirtualParallelPort|VirtualFloppy|VirtualSerialPort|VirtualHdAudioCard|VirtualAHCIController|VirtualEnsoniq1371|VirtualCdrom""

$VMview.Config.Hardware.Device | Where-Object {$_.GetType().Name -match $UnnecessaryHardware} | Foreach-Object {
	$devname = $_.GetType().Name
	Write-Host ""$VM`: [WARNING] VM has a $devname device. Please evaluate and consider removing."" -ForegroundColor Yellow
}",N/A
vm-7.restrict-host-info,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P2,Virtual machines must not be able to obtain host information from the hypervisor.,"Preventing VMs from obtaining host information from the hypervisor mitigates risk of advanced attacks, as it denies adversaries crucial details about the physical host.",tools.guestlib.enableHostInfo,Undefined (Defaults to FALSE),Undefined (Defaults to FALSE),YES,Audit,VM Advanced Parameters,None,Get-VM -Name $VM | Get-AdvancedSetting tools.guestlib.enableHostInfo,Get-VM -Name $VM | Remove-AdvancedSetting -Name tools.guestlib.enableHostInfo
vm-7.transparentpagesharing-inter-vm-enabled,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P2,Virtual machines must restrict sharing of memory pages between VMs.,"Transparent Page Sharing (TPS) reduces VM memory footprint but could enable unauthorized data access in some very limited conditions. To bolster security, VMs should be configured with the sched.mem.pshare.salt option, preventing memory sharing with other VMs.",sched.mem.pshare.salt,Undefined (Defaults to vc.uuid),Undefined (Defaults to vc.uuid),YES,Audit,VM Advanced Parameters,None,Get-VM -Name $VM | Get-AdvancedSetting sched.mem.pshare.salt,Get-VM -Name $VM | Remove-AdvancedSetting -Name sched.mem.pshare.salt
vm-7.vmotion-encrypted,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P1,Virtual machines must require encryption for vMotion.,"Requiring encryption for vMotion in virtual machines guarantees secure data transfer. The default 'opportunistic' encryption likely results in encryption due to widespread AES-NI support in vSphere-compatible hardware. However, enforcing 'required' encryption prevents any unencrypted operations.",VM Configuration,opportunistic,required,NO,Modify,VM Settings,None,(Get-VM -Name $VM).ExtensionData.Config.MigrateEncryption,"$VMview = Get-VM -Name $VM | Get-View 
$ConfigSpec = New-Object VMware.Vim.VirtualMachineConfigSpec
$ConfigSpec.MigrateEncryption = New-Object VMware.Vim.VirtualMachineConfigSpecEncryptedVMotionModes
$ConfigSpec.MigrateEncryption = ""required""
$VMview.ReconfigVM_Task($ConfigSpec)"
vm-7.vmrc-lock,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P2,Virtual machines must be configured to lock when the last console connection is closed.,Locking virtual machines when the last console connection closes can prevent potential unauthorized access from attackers exploiting logged-in console sessions.,tools.guest.desktop.autolock,Undefined (Defaults to TRUE),Undefined (Defaults to TRUE),YES,Audit,VM Settings,None,Get-VM -Name $VM | Get-AdvancedSetting tools.guest.desktop.autolock,Get-VM -Name $VM | Remove-AdvancedSetting -Name tools.guest.desktop.autolock
